国家/地区,点击次数,展示,点击率,排名
突尼斯,0,14,0%,5.5
新西兰,0,14,0%,18.71
乌克兰,0,13,0%,9.62
俄罗斯,0,13,0%,24.31
保加利亚,0,12,0%,11.83
卡塔尔,0,11,0%,5.82
黎巴嫩,0,11,0%,6.18
阿塞拜疆,0,11,0%,10.55
秘鲁,0,11,0%,10.82
斯里兰卡,0,10,0%,8
蒙古,0,10,0%,8.1
格鲁吉亚,0,10,0%,11.2
波多黎各,0,9,0%,6.22
巴巴多斯,0,9,0%,6.56
也门,0,9,0%,7.11
哈萨克斯坦,0,8,0%,7.12
叙利亚,0,8,0%,8.12
巴哈马,0,7,0%,7
危地马拉,0,7,0%,7
匈牙利,0,7,0%,7
克罗地亚,0,7,0%,9.29
柬埔寨,0,7,0%,11.29
委内瑞拉,0,7,0%,22.43
阿曼,0,7,0%,23.57
圭亚那,0,6,0%,5.5
乌干达,0,6,0%,5.5
拉脱维亚,0,6,0%,7.5
巴拿马,0,6,0%,7.83
波斯尼亚和黑塞哥维那,0,6,0%,17.5
缅甸,0,6,0%,17.83
伯利兹,0,5,0%,4.2
坦桑尼亚,0,5,0%,4.2
利比亚,0,5,0%,5.4
多米尼加共和国,0,5,0%,6.4
塞浦路斯,0,5,0%,7.4
厄瓜多尔,0,5,0%,7.8
立陶宛,0,5,0%,8.6
斯洛伐克,0,5,0%,9.4
白俄罗斯,0,5,0%,10.8
摩尔多瓦,0,5,0%,16.8
喀麦隆,0,4,0%,3.25
塔吉克斯坦,0,4,0%,3.25
巴林,0,4,0%,4
阿尔巴尼亚,0,4,0%,4.75
卢旺达,0,4,0%,5.25
马耳他,0,4,0%,6
巴拉圭,0,4,0%,6
爱沙尼亚,0,4,0%,6.75
索马里,0,4,0%,6.75
芬兰,0,4,0%,7.75
毛里塔尼亚,0,4,0%,8.25
捷克,0,4,0%,8.5
卢森堡,0,4,0%,9.25
塞内加尔,0,4,0%,12.25
哥斯达黎加,0,4,0%,15.75
亚美尼亚,0,3,0%,3.33
未知地区,0,3,0%,3.67
冰岛,0,3,0%,5.67
土库曼斯坦,0,3,0%,6.33
阿富汗,0,3,0%,6.67
马其顿,0,3,0%,7.33
布基纳法索,0,3,0%,10.33
贝宁,0,2,0%,3.5
科威特,0,2,0%,3.5
巴勒斯坦,0,2,0%,3.5
圣文森特和格林纳丁斯,0,2,0%,3.5
冈比亚,0,2,0%,4.5
海地,0,2,0%,4.5
美属维尔京群岛,0,2,0%,4.5
科索沃,0,2,0%,5
玻利维亚,0,2,0%,5.5
苏丹,0,2,0%,5.5
曼岛,0,2,0%,6
莱索托,0,2,0%,6.5
津巴布韦,0,2,0%,6.5
百慕大,0,2,0%,7
关岛,0,2,0%,7
斯洛文尼亚,0,2,0%,8
刚果 - 金沙萨,0,2,0%,10
乌拉圭,0,2,0%,12
吉尔吉斯斯坦,0,2,0%,16.5
萨尔瓦多,0,2,0%,20
布隆迪,0,1,0%,1
巴布亚新几内亚,0,1,0%,1
安道尔,0,1,0%,3
安提瓜和巴布达,0,1,0%,4
格林纳达,0,1,0%,4
泽西岛,0,1,0%,4
老挝,0,1,0%,4
莫桑比克,0,1,0%,4
毛里求斯,0,1,0%,4
开曼群岛,0,1,0%,6
苏里南,0,1,0%,7
赞比亚,0,1,0%,7
科特迪瓦,0,1,0%,8
荷属圣马丁岛,0,1,0%,8
阿鲁巴,0,1,0%,9
黑山,0,1,0%,9
加勒比荷兰,0,1,0%,10
多哥,0,1,0%,10
西撒哈拉,0,1,0%,34
